Geno,DigitalBiomass,leafArea3D,leafAreaIndex,LeafAngle,LeafInclination,LightPenetrationDepth,PlantHeight,ProjectedLeafArea
G100,53293933.34,86793,0.33382,48.58433333,1.333333333,148.1686667,565.286,76811.83333
G101,51893433.33,96353.16667,0.370586667,49.24233333,1.329666667,156.602,535.9733333,74038.63333
G102,45335383.33,80627.25,0.310105,50.87,1.289333333,197.779,567.5011667,62284.88334
G103,50560633.33,81462.16667,0.313316667,49.25833333,1.322333333,161.998,570.1556667,57324.93333
G104,45373616.67,83346.9,0.320565,47.3805,1.361666667,170.8963333,545.3185,60921.16667
G105,51067433.33,89188.13333,0.34303,47.84433333,1.349666667,180.7498333,556.9488333,46351.5
G106,57799400,84153.43334,0.323666666,49.452,1.321,165.3733333,528.4896667,61598.56667
G107,48282766.67,83625.6,0.321636667,47.604,1.357333333,213.8786666,576.8736667,61566.86667
G108,55282833.33,92529.96667,0.355883333,49.20766667,1.323333333,140.3803333,559.6636667,64348.5
G109,54628266.67,100786.6667,0.387643333,48.89,1.326333333,179.25,560.0933334,93862.19445
G110,57929116.67,109983.4667,0.423013333,50.75833333,1.294,140.3713333,527.4493333,85110.53333
G111,48023200,87187.16667,0.335336667,48.60266667,1.342,181.2083333,556.9616667,66114
G112,36012400,67442.93333,0.259393333,45.55166667,1.375666667,156.272,534.2776666,48186.73333
G113,46576500,84362.73333,0.32447,48.19966667,1.343333333,177.8546667,554.135,62831.76667
G114,45710566.67,88130.96668,0.338966667,49.6065,1.329166667,143.3058333,567.3283333,66080.66667
G115,63359783.33,110039.5667,0.42323,48.98933333,1.329333333,205.3991667,553.296,83166.16667
G116,44994000,87124.26667,0.335093333,48.26266667,1.340666667,175.4183333,555.3073334,67827.2
G117,54784266.66,92460.53332,0.355616667,48.133,1.342333333,174.3463333,590.4706667,66483.23333
G118,52499633.34,87117.83333,0.33507,46.50066667,1.339666667,131.3933333,543.0366667,65352.33333
G119,48362033.33,92565.94259,0.35602,50.88533333,1.290333334,117.4803333,514.83,74916.96667
G120,51535300,87638.5,0.337073333,47.013,1.368,223.8396667,589.0553334,63751.86667
G121,48076733.34,83519.53333,0.321226666,47.81566667,1.351,198.1566666,573.925,61636.63333
G122,51661633.33,93404.93333,0.35925,49.487,1.316666667,177.8616667,553.1126667,70744.96667
G123,47712766.66,88228.66667,0.339343333,48.13733333,1.344,170.5536667,540.0156666,65699.66667
G124,44394366.67,87108.8,0.335036667,49.16966667,1.329666667,123.3453333,543.426,65819.5
G125,47362333.33,87819.66667,0.337766667,48.72366666,1.342666667,177.9893333,542.3186666,66832.96667
G126,45143766.67,79256.43333,0.30483,46.98266667,1.369333333,206.2906667,569.3893333,57651.66667
G127,32459600,86842.08593,0.333996481,45.83033333,1.4,198.394,560.841,122100.8407
G128,34388100,70229.86667,0.270116667,48.25666667,1.359333333,149.56,507.0483333,54272.46667
G129,59547933.33,102394.8333,0.393826666,50.76566667,1.291,198.5306667,579.4433333,78974.46667
G130,49916033.33,92087.55,0.354181667,48.2585,1.342166666,161.5818333,541.7285,68590.15
G131,49052566.67,84481.73333,0.32493,48.497,1.336333333,209.6113333,580.273,63208.03333
G132,53970150,94986.46667,0.365335,48.51033333,1.337,154.9253333,571.7693333,71377.2
G133,47840933.33,84569.03333,0.325263333,48.147,1.343,202.3546667,567.1983333,62886.16667
G134,52804700,93161.76668,0.358315,48.97066667,1.332666667,194.8286667,563.6531666,70758.03334
