"plotId","Grain_yield","Days_to_flowering","Days_to_maturity","SDWT_100Wgh_g"
"8T3QP5b1cb324","82.0","32.666668","101.666664","30.730001"
"8T3QP300e2909","131.66667","36.666668","103.333336","36.47"
"8T3QP96472135","122.0","34.0","104.0","38.983334"
"8T3QP951cdb90","79.333336","32.0","102.333336","32.19"
"8T3QP9abb5481","96.666664","31.333334","101.0","35.43"
"8T3QP6c0728e3","161.0","35.0","102.333336","34.166668"
"8T3QP5db8298e","94.666664","36.0","101.333336","32.563335"
"8T3QP27e5b9a0","100.666664","44.666668","102.666664","18.436666"
"8T3QPd2e13eaa","145.66667","34.0","101.333336","38.583332"
"8T3QP5710b7b5","79.666664","44.0","103.333336","22.203333"
"8T3QPcf4ec509","123.333336","31.333334","101.666664","39.933334"
"8T3QP365b2231","133.0","47.333332","107.0","21.533333"
"8T3QP7e9539d7","87.333336","35.0","102.0","41.006668"
"8T3QP3d92756f","134.0","46.0","105.666664","19.843332"
"8T3QPbf0c1aed","176.66667","33.666668","102.333336","37.22667"
"8T3QP64ecc0fe","206.0","34.0","103.0","36.3"
"8T3QPbb57607d","81.0","36.0","104.333336","37.443333"
"8T3QP08d33747","150.33333","33.666668","104.333336","40.27667"
"8T3QP38d81114","185.66667","43.666668","105.666664","23.163332"
"8T3QPab69779a","55.666668","34.0","101.666664","38.683334"
"8T3QPdce2413f","71.666664","55.666668","108.666664","17.443333"
"8T3QP5cd6aa60","182.33333","45.333332","104.0","22.893333"
"8T3QPcb8e728c","159.66667","32.666668","101.666664","38.353333"
"8T3QPe6f92821","239.0","45.0","103.666664","16.956667"
"8T3QP15fd7483","164.66667","34.333332","101.0","42.149998"
"8T3QP240f4b44","162.0","44.0","102.666664","24.29"
"8T3QP78068d6c","168.33333","32.0","101.333336","40.96"
"8T3QP02ed95fd","132.33333","41.666668","105.666664","24.67"
"8T3QP99f891e9","161.66667","47.666668","103.0","14.343333"
"8T3QPdfeca166","114.333336","48.0","102.666664","15.023334"
"8T3QP365d747a","77.666664","41.666668","105.666664","24.426666"
"8T3QPd1b814eb","155.33333","47.333332","103.666664","20.903334"
"8T3QP33c84df7","104.666664","48.0","110.666664","27.316666"
"8T3QP30e9cbd5","173.0","45.0","101.0","21.356667"
"8T3QPa8eda135","160.0","46.666668","102.0","25.483335"
"8T3QP80747eb8","74.666664","30.0","102.333336","19.17"
"8T3QP222ffdb8","62.666668","35.0","101.666664","36.170002"
"8T3QP1f119c5f","147.0","32.333332","102.666664","38.18"
"8T3QP2d353786","133.0","47.333332","103.0","18.909998"
"8T3QP649042c4","166.33333","43.666668","103.666664","20.913332"
"8T3QP163c0907","66.333336","32.0","102.333336","32.25"
"8T3QP29fc9569","119.0","47.333332","107.0","24.6"
"8T3QP97771afe","165.0","33.666668","102.0","32.013332"
"8T3QP9ad26e38","108.666664","43.666668","102.333336","20.936666"
"8T3QP9918e681","110.0","45.333332","103.333336","22.396667"
"8T3QP8650a52f","90.333336","48.666668","104.333336","14.153333"
"8T3QP06fc5496","161.0","42.666668","104.666664","26.223333"
"8T3QPc8d96c98","171.33333","48.0","104.666664","21.806665"
"8T3QP6923c3af","135.0","48.0","103.333336","14.673333"
